Name,Age,Season,Placement,DaysIn,VotesAgainst,Immunities,IndImmunities,Challenges,VFB_NIF3,TCA_NIF3,TCTotal,TC_Prop,TC_Pct,TC_Score_Prop,TC_Score,Idols,Merge,Jury,Final_Tribal,RunnerUp,Winner,JuryVotes,Prop_Jury_Vote,Pct_Jury_Vote,Job,JobFixed,AppStatus,Applicant,Recruit,Collar,BlueCollar,WhiteCollar,Strength,Generation,Gender,AgeGroup
2Eliza Orlins,25,16,10,24,8,6,0,10,2,3,14,0.666666667,66.6666667,0.142857143,14.2857143,0,1,1,0,0,0,.,.,.,PreLawStudent,41,0,0,1,1,0,1,1,4,0,2
2Ozzy Lusth,26,16,9,27,9,3,1,6,7,8,14,0.875,87.5,0.5,50,1,1,1,0,0,0,.,.,.,Photographer,4,0,0,1,2,0,0,3,4,1,2
Jason Siska,22,16,8,30,8,7,1,10,1,5,14,0.2,20,0.071428571,7.1428571,1,1,1,0,0,0,.,.,.,GymnasticsCoach,10,1,1,0,2,0,0,3,4,1,2
2James Clement,30,16,7,31,3,6,0,10,3,5,14,0.6,60,0.214285714,21.4285714,0,1,1,0,0,0,.,.,.,Gravediffer,6,0,0,1,2,0,0,3,3,1,3
Alexis Jones,24,16,6,33,2,6,0,9,3,6,14,0.5,50,0.214285714,21.4285714,0,1,1,0,0,0,.,.,.,MotivationalSpeaker,19,0,0,1,2,0,0,2,4,0,2
Erik Reichenbach,22,16,5,36,7,4,2,8,7,11,14,0.636363636,63.6363636,0.5,50,0,1,1,0,0,0,.,.,.,IceCreamScooper,15,1,1,0,2,0,0,1,4,1,2
Natalie Bolton,32,16,4,37,3,7,1,8,5,8,14,0.625,62.5,0.357142857,35.7142857,0,1,1,0,0,0,.,.,.,PersonalTrainer,12,1,1,0,2,0,0,3,3,0,3
2Cirie Fields,37,16,3,38,3,2,0,5,11,12,14,0.916666667,91.6666667,0.785714286,78.5714286,0,1,1,0,0,0,.,.,.,Nurse,25,0,0,1,3,1,0,1,3,0,3
2Amanda Kimmel,23,16,2,39,4,4,2,8,11,12,14,0.916666667,91.6666667,0.785714286,78.5714286,1,1,0,1,1,0,3,0.375,37.5,HikingGuide,29,0,0,1,2,0,0,2,4,0,2
2Parvati Shallow,25,16,1,39,4,7,1,11,8,8,14,1,100,0.571428571,57.1428571,1,1,0,1,0,1,5,0.625,62.5,CharityOrganizer,15,0,0,1,1,0,1,2,4,0,2
Michelle Chase,24,17,18,3,8,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,.,.,.,MusicAssistant,28,0,0,1,2,0,0,2,4,0,2
